tipo;ticker_ars;ticker_mep;ticker_ccl;ticker_usa;nombre;mercado;ratio;vigente
BONOS;AE38;AE38D;AE38C;;BONOS DE LA REPUBLICA ARGENTINA EN DOLARES ESTADOUNIDENSES STEP UP 2038;BCBA;1;True
BONOS;AL29;AL29D;AL29C;;BONOS DE LA REPUBLICA ARGENTINA EN DOLARES ESTADOUNIDENSES AL 1% 2029;BCBA;1;True
BONOS;AL30;AL30D;AL30C;;BONOS DE LA REPUBLICA ARGENTINA EN DOLARES ESTADOUNIDENSES STEP UP 2030;BCBA;1;True
BONOS;AL35;AL35D;AL35C;;BONOS DE LA REPUBLICA ARGENTINA EN DOLARES ESTADOUNIDENSES STEP UP 2035;BCBA;1;True
BONOS;AL41;AL41D;AL41C;;BONOS DE LA REPUBLICA ARGENTINA EN DOLARES ESTADOUNIDENSES STEP UP 2041;BCBA;1;True
BONOS;BA37D;BA7DD;;;BONOS A EN DOLARES ESTADOUNIDENSES CON VENCIMIENTO EN 2037;BCBA;1;True
BONOS;BB37D;BB7DD;;;BONOS B EN DOLARES ESTADOUNIDENSES CON VENCIMIENTO EN 2037;BCBA;1;True
BONOS;BC37D;BC7DD;;;BONOS C EN DOLARES ESTADOUNIDENSES CON VENCIMIENTO EN 2037;BCBA;1;True
BONOS;BDC24;;;;TITULOS DE DEUDA PUBLICA CLASE 22 A TASA VARIABLE CON VENCIMIENTO EL 29 DE MARZO DE 2024;BCBA;1;True
BONOS;BDC28;;;;TITULOS DE DEUDA PUBLICA CLASE 23 A TASA VARIABLE CON VENCIMIENTO EN 2028;BCBA;1;True
BONOS;CO26;CO26D;;;TITULOS DE DEUDA CLASE I EN DOLARES ESTADOUNIDENSES AL 7,125% CON VENCIMIENTO EN 2026 GARANTIZADOS 27/10/26;BCBA;1;True
BONOS;CUAP;;;;TITULOS CUASIPAR EN PESOS CON VENCIMIENTO EN DICIEMBRE DE 2045;BCBA;1;True
BONOS;DICP;DICPD;;;TITULOS DISCOUNT EN PESOS AJUST CER LEY ARG V 31/12/33;BCBA;1;True
BONOS;GD29;GD29D;GD29C;;BONOS GLOBALES DE LA REPUBLICA ARGENTINA AMORTIZABLES EN DOLARES ESTADOUNIDENSES 1% 2029;BCBA;1;True
BONOS;GD30;GD30D;GD30C;;BONOS GLOBALES DE LA REPUBLICA ARGENTINA AMORTIZABLES EN DOLARES ESTADOUNIDENSES STEP UP 2030;BCBA;1;True
BONOS;GD35;GD35D;GD35C;;BONOS GLOBALES DE LA REPUBLICA ARGENTINA AMORTIZABLES EN DOLARES ESTADOUNIDENSES STEP UP 2035;BCBA;1;True
BONOS;GD38;GD38D;GD38C;;BONOS GLOBALES DE LA REPUBLICA ARGENTINA AMORTIZABLES EN DOLARES ESTADOUNIDENSES STEP UP 2038;BCBA;1;True
BONOS;GD41;GD41D;GD41C;;BONOS GLOBALES DE LA REPUBLICA ARGENTINA AMORTIZABLES EN DOLARES ESTADOUNIDENSES STEP UP 2041;BCBA;1;True
BONOS;GD46;GD46D;GD46C;;BONOS GLOBALES DE LA REPUBLICA ARGENTINA AMORTIZABLES EN DOLARES ESTADOUNIDENSES STEP UP 2046;BCBA;1;True
BONOS;NDT25;NDT5D;;;TITULOS DE DEUDA DE NEUQUEN SERIE 1 CON VENCIMIENTO EN 2030 - TIDENEU 27/04/2030;BCBA;1;True
BONOS;PAP0;;;;BONOS DE LA REPUBLICA ARGENTINA A LA PAR EN PESOS REGIDOS POR LA LEY ARGENTINA (AJUSTABLES POR CER) 31/12/2038;BCBA;1;True
BONOS;PARP;;;;TITULOS PAR DENOMINADOS EN PESOS 30/12/2034;BCBA;1;True
BONOS;PBA25;;;;TITULOS DE DEUDA DE LA PROVINCIA DE BUENOS AIRES A TASA VARIABLES CON VENCIMIENTO EL 12/04/2025;BCBA;1;True
BONOS;PBY24;;;;TITULOS DE DEUDA PUBLICA DE LA PROVINCIA DE BUENOS AIRES A TASA VARIABLE CON VENCIMIENTO EL 16 DE MAYO DE 2024;BCBA;1;True
BONOS;PMM29;;;;TITULOS DE DEUDA PUBLICA DE LA PROVINCIA DE MENDOZA CON VENCIMIENTO EN 2029;BCBA;1;True
BONOS;PR13;;;;BONOS DE CONSOLIDACION - SEXTA SERIE 15/03/2024;BCBA;1;True
BONOS;SA24D;;;;TITULOS DE DEUDA A TASA INCREMENTAL V 01/12/27;BCBA;1;True
BONOS;T2V4;;;;BONO DEL TESORO NACIONAL VINCULADO AL DOLAR ESTADOUNIDENSE VENCIMIENTO 30 DE SEPTIEMBRE DE 2024;BCBA;1;True
BONOS;T2X4;;;;BONO DEL TESORO NACIONAL EN PESOS AJUSTADO POR CER 1,55% VENCIMIENTO 26 DE JULIO DE 2024;BCBA;1;True
BONOS;TC25P;;;;BONOS DEL TESORO NACIONAL EN PESOS CON AJUSTE POR CER 4% VTO.2025 (BONCER 2025);BCBA;1;True
BONOS;TDA24;;;;BONO NACION MONEDA DUAL 30/04/2024;BCBA;1;True
BONOS;TDF24;;;;BONO DE LA NACION ARGENTINA EN MONEDA DUAL VENCIMIENTO 28 DE FEBRERO DE 2024;BCBA;1;True
